,0
academicextracurricular,1
eventually,1
build,1
oweuccesfaculty,1
batchmateopportunitiegot,1
yearspfun,1
mischiefpecial,1
memories,1
memberco,1
operative,1
vidhateir,1
autadeirhinde,1
patilir,1
kambleir,1
uinformatively,1
lifetudent,1
gamealwaymisguided,1
timeirmaam,1
trekinginghgad,1
fort,1
respected,1
vithadeir,1
auradeir,1
nevermissed,1
teachergave,1
courage,1
moralupport,1
dear,1
teachers,1
hi,1
pursuing,1
mdupdownmemoriestronger,1
amtaff,1
headingponsorship,1
letstart,1
daywere,1
maximum,1
credit,1
goeinstitution,1
hobbiepassioninging,1
dancing,1
professorseniorbatchmatejuniors,1
although,1
memoriejolt,1
festalwayfavourite,1
organised,1
internloved,1
organisational,1
committeeeach,1
colleaguesupported,1
way,1
collegetar10,1
girllesfamily,1
classmates,1
eventorganized,1
altogether,1
exploringtrength,1
areasit,1
golden,1
flourish,1
memoriespent,1
toureducational,1
activitieextra,1
activitiebrought,1
move,1
decision,1
alwayproud,1
independent,1
face,1
opportunitiecourse,1
annual,1
yearcherry,1
cake,1
beingcience,1
msc,1
name,1
extremely,1
nervoustarting,1
brand,1
chapter,1
managementupport,1
encouragement,1
teacherfriendimed,1
eased,1
ease,1
varioukindexposure,1
corporate,1
activitieeventenhanced,1
worldtep,1
campucollege,1
facilitiecollege,1
came,1
campuplacement,1
tech,1
mahindra,1
2017,1
confident,1
numerouopportunitielearn,1
got,1
curriculum,1
78,1
happenlike,1
festgatheringnight,1
uptil,1
happyorganised,1
type,1
big,1
colleges,1
weve,1
classroomsmart,1
tv,1
collection,1
bookoverall,1
almosphere,1
around,1
pm,1
organise,1
nice,1
quitetricttill,1
welfaretudentfocuimprovingtudent’academictatus,1
attention,1
towardactivitiepratical,1
besidestudiestudentfill,1
relax,1
clear,1
focuseacademic,1
chance,1
individualelf,1
their,1
related,1
washroomsthe,1
ground,1
campubig,1
classroomdigital,1
coolerturned,1
dementclassroom,1
facilitieetc,1
bvcoew,1
helpstudentimprove,1
collegewant,1
collegeppu,1
campuhuge,1
classeteachingtaff,1
best,1
campuwashroomdeveloped,1
tap,1
bucket,1
ok,1
nt,1
tht,1
teachingtaffubjectbt,1
rest,1
u,1
knoww,1
per,1
okokk,1
campuwashroom,1
campuslibrary,1
2the,1
identity,1
card,1
must,1
hangingwear,1
toiletmust,1
labsand,1
eventstudent,1
punethroughout,1
campufruitful,1
methodcocurricular,1
activitiecareer,1
guidanceupporterviceprovidedtudentcollege,1
by,1
proper,1
teacherespecially,1
drardair,1
became,1
openminded,1
heritage,1
born,1
privileged,1
professorlearner,1
momentpent,1
transitioningkilled,1
provideseparate,1
activitiehelped,1
grooming,1
personalityhaping,1
careertudent,1
campusplendid,1
metaff,1
teacherhod,1
instrumental,1
heard,1
quotetay,1
hungrytay,1
foolish,1
implement,1
bvducoep,1
alltudentsatisfied,1
alwayready,1
tafftudentsupportive,1
aesthetically,1
ladiehostel,1
facilitiefeature,1
separate,1
gymnasium,1
encouragegirlactively,1
variousportactivities,1
professionissueresolved,1
ive,1
reality,1
ivetay,1
ill,1
tryurvive,1
extreme,1
conditions,1
collegei,1
havenot,1
complain,1
nobody,1
bothered,1
listen,1
itour,1
pay,1
heed,1
complaintsi,1
mindtay,1
another,1
2,1
years,1
campudesigned,1
members,1
