,c1
85,far reading interesttudentconcerned literaturebiographiedaily newpaperenglish marathi languageeresourceetc also available number
89,action takentudentindulging abetting ragging withholdingwithdrawingcholarship fellowship benefits
92,action takentudentindulging abetting ragging debarred representing institution regional national international meet tournament youth festival etc
94,action takentudentindulging abetting ragging fine rs25000
98,bharati vidyapeeth mission bringocial transformation dynamic education
99,believe educating women helpdeveloping nation
100,the womentepped truly womenubstance women proved potential again view mind bharati vidyapeethtarted bharati vdyapeethcollege engineering women 2000
101,indeed institute truly excelled boundarieestablish pier institute womenupremacy technology empowergirltudentpursue passion realize ambitionirrespective geographicalcale
102,support mission vision institute
104,responsible accountable activitielevelinstitution
105,continuallyeek earn publictrust actionwords
107,create new programservicemeet identified needs
108,we continuously evaluate improve programservicesystempolicies
109,utilizehared decisionmaking process
111,treat people dignity encourage feelingselfworth
112,promote trust professional courtesy fair treatment
113,recognizeupport employeetudent contributions
115,promote continuouimprovement
117,we encourage creativity innovation risktaking
118,utilizeystempromotetudent employeeuccess
120,encourage decisionmaking level implementation
121,encourage interdemental collaboration
123,responsibility professional growth development
125,continuously evaluate improveystempolicies
126,establish communicate clearly defined articulated goals
128,ensure work addvalue instituteociety
129,ensure fair equal access
130,recognize addreschallengedueocioeconomic diversity
131,provide educational experiencepromote er appreciation
136,experienced dedicatedtaff retention ratio
138,adaptive effective teaching learning procesusing continuouevaluation
149,effective use ict teaching learning process
151,effective academic monitoring
152,encouraging conducive atmosphere cocurricular activities
153,promoting research amongtudents
154,ability design developkill development
156,improvement aptitude communicationkilltudents
162,conduction value addition programs
163,organization nationalinternational conferencevalue addition programs
164,effective icipation alumni development
167,improvement aptitude communicationkillstudenttasking
169,creating awarenesemployment opportunitiee tc engineering
172,try promote patents
0,i think instead clg clg would choice  dementclassroom facilitieetc
1,bvcoew faculty helpful helpstudentimprove
2,collegewant women collegeppu
4,campuhuge clean along engineering college building classeteachingtaff best
9,college campuwashroomdeveloped water tap bucket
10,college ok infrastructure nt tht  teachingtaffubjectbt rest u knoww per whole college okokk
11,college campuwashroom developed
14,the campuslibrary classroom
15,college campuenvironment
17,2the identity card must like hangingwear
18,3 toiletmust clean water coolerturned on
19,classroom classroomdigital 
20,college campubig ground no happenlike festgatheringnight time
21,library library
23,uptil happyorganised type big festival like colleges
25,weve nsunit
26,classroomsmart tv  library huge collection bookoverall almosphere  teaching 
28,college library hourincreased around 78 pm
29,library library hourincreased
32,
33,nice
35,college quitetricttill working welfaretudentfocuimprovingtudent’academictatus
38,
39,clg provide attention towardactivitiepratical knowledge besidestudiestudentfill relax mind clear
40,college focuseacademic overall development fair chance individualelf development
41,their need improvement related washroomsthe labsand college organise technical eventstudent
45,
46,college provideseparate ladiehostel facilitiefeature college
47,separate gymnasium college encouragegirlactively icipate variousportactivities
48,the teacher experience professionissueresolved them
49,
50,i neutral opinion college ive accepted reality ivetay college ill tryurvive extreme conditions
52,neutral opinion collegei accepted college havenot complain also know nobody bothered listen itour college pay heed complaintsi mindtay another 2 years
53,campudesigned aesthetically infrastructure atmosphere tafftudentsupportive alwayready help
54,alltudentsatisfied teaching methodcocurricular activitiecareer guidanceupporterviceprovidedtudentcollege
0,timepent campualwayholdpecial place heart new law college place met brilliant mindcanopy warmest inspiring faculty proud endorse represent  institution
1,by going college learning law proper guidance teacherespecially drardair became openminded heritage born into privileged  institution
2,my alma mater provided qualified professorlearner centric environment momentpent campufruitful transitioningkilled professional extracurricular cultural activitiehelped grooming personalityhaping careertudent bvp campusplendid experience metaff teacherhod  instrumental journey
3,i heard quotetay hungrytay foolish learned implement engineering bvducoep punethroughout curriculum got numerouopportunitielearn unlearn academicextracurricular eventually helped build mindset oweuccesfaculty batchmateopportunitiegot four yearspfun mischiefpecial place memories
4,all faculty memberco operative helpful vidhateir autadeirhinde maam patilir kambleir taught uinformatively gamealwaymisguided time time enjoyed timeirmaam would like   gave guidance help enjoyed trekinginghgad fort respected vithadeir auradeir nevermissed memorable timepent teacher teachergave courage moralupport difficult time  dear teachers
5,hi all  time lifetudent bvp college nursing especiallyupport extra effortfacultie also challengeencouraged uface help ubecome proud nursing graduate bvp miscollege days
6,engineering consisted fusion theoretical practical knowledge blended  four course enticing faculty bharati vidyapeeth university helped enhancing academic interpersonalkill cultural experience get  differentocietiehelp upskill moreover facultyupportive guide achieve future career goalambition
7,being bv du college engineering pune amazing experience learned journey destination bv du college engineering journey mesmerizing faculty membersupportive initiative develop knowledgekillstudentvariouacademic activitiecampualong helpedhine talentoverall development varioucommitteegave opportunity people work experience learned engineer also human being
8,while pursuing mdupdownmemoriestronger person amtaff colleaguesupported face  difficult opportunitiecourse bvp annual fest 3 yearcherry cake
9,beingcience background msc name extremely nervoustarting brand new chapter field managementupport encouragement teacherfriendimed eased new world ease varioukindexposure corporate world help different activitieeventenhanced understanding worldtep into campucollege facilitiecollege yearlife came imed pune campuplacement tech mahindra 2017 confident independent polished individual joined alwayproud decision move pune join imed
10,letstart beautiful college daywere maximum credit goeinstitution hobbiepassioninging dancing alwaysupported professorseniorbatchmatejuniors
11,although  memoriejolt college festalwayfavourite especially organised internloved  organisational committee headingponsorship committeeeach  fest memorable way  collegetar10 girllesfamily  classmates
12,eventorganized imed different experience altogether helped exploringtrength areasit beautiful journey
13,it golden time graduation polished flourish future  memoriespent college  toureducational activitieextra activitiebrought alwaynew insighthappinesalwayproud  bharati vidyapeeth family
14,when joined bvimr 5 yearexperience industry unlearn learned newmba journeypecial mei happy initiativetakentill running  bvimr today also like mediaociety flash bplan competition named avsar presidenttudent council bvimr alwaytriedupporttudentwork welfare
15,i along friendattended conferencecourse implant course conducted college collegetaff hardworking alwaywelcomed doubt dance committee cultural committee  college given friendlifetime wonderful amazing memorie committee last alumni meet internship going on
16,cherished giving interdementaleminargettingelected represent college iicpc conference belgaum achievementalso performing college fest alwaytreasured memory
17,those 5 yearyearlife grateful had tonmemoriecherish life proudtudentangli campus
18,the memory collegeessionfaculty conducted professional development exploring creativeide etc
19,i time bharti especially time md research gave confidence knowledge also tripouth enjoyable memory life
20,bvcoa eminent design instituteet within fantastic campuenvironment punethe college providestudentopportunitie variouworkshopexhibitionstudy tripstate national eventlike nasa national assoctudentarchitecture help exposure field architecturehapetudentdesigner robust infrastructure collegeproviding engineering fine artallied design fieldbharati vidyapeeth truly providestudentcomprehensive knowledge college infrastructure facultyupporttaff work towardsupportingtudentacademic extracurricular needswhich  reasonreminisce college daybvcoa fondnesconsider time impactful 5 yearlife friends
21,i mentormet closest friendback then entire college likemall familypent time togetherwe encouraged think box engage extracurricular activities
22,bharati vidyapeeth college architecture university integral holistic developmentelf crucial age life college providecollaborative culture working encouragepush beyond boundaries
23,understand live comfort z college alwayencouraging cultural co curricular eventintegral  life place helped understandense  living along deeper understanding architecturepace planning facultieimmense experience core growth individualtudent university facultiehelped understand technical aspect necessary understand interpret meaning architecture
24,spaceask purpose life learningcollaboration coordination team work important traitable develop university deeper understanding history architecture rooted constant educational touretched beautiful memorielifearchitecture university activity happenisolation involvement  professionalgivedeeper understanding building constructionervice5 yearbharati vidyapeeth college architectureteppingt career thoughtfully crafteduretudent ready global challenges
26,past 20 yearworking bvdumc enriching experience helped professional growthtate art facilitiepromotion research oriented aptitude encouraging environment helped personal growth learning newkillstudentaround campufull energy enthusiasm
27,i postgraduation bvdumcp  experience teacherwhole faculty encouraging helpful fortunately yearjoined faculty facultytudentadministration harmony medical education unit working efficiently hospital d  work covid
28,work culture
29,second home calling home no lesfamily working environment fabulousupport facilitiealwayavailable college honor  bharati vidyapeeth yebharatiy
30,beautiful campustate art building excellent teaching expert teachingtaff cooperative nonteachingtaff  behavedtudentstrict rules
31,bvdumc hospital family me proud  it
32,afinaltudent bharati vidyapeeth university college engineering plethora positive experiencecollege atmosphere electronicmotivating enriching owe large  professionaluccesfacultiededicated time helping uinnovate workolutionsocietieclubform key  overall developmenttudenthelped enhance communication leadershipkills
33,i associated biochemistry bvdtumc pune 14 year privilege work foundation yearcareer discipline dedication teaching continuoueffortupgrade teaching learning materialmaintainingtudent friendly environment alwayforefront today  applauded quality teachinghowstudent performance  distinction holderbiochemistry 1st mbbexamsanother feather captate artbiochemistryection central clinical laboratory  platform facultytudentlearn explore newer horizonbasicciencemeet technological advancements
34,we fortunate gain knowledge life ayurveda ayurvedic pharmaceuticalong pharmacology rasashastra bhaishajyakalpana bvducoa three waywonderful experience  4 yearbelieve whatever achieved far life majorly falloutknowledge gained dement  dr wele dr pawar dr more vd gadgil lab assistantplay crucial role molding crude bamgraduate learned person whole
35,the crucial 3 yearmd ayurved like turning point life exposed huge field rasashastra course valuelike openmindednesadaptability adhering principleayurved embedded uhelped find myselfincere gratitude teachersupport team rsbkv dept
36,rsbk dept bharati vidyapeeth university placepost graduation rasashastra bhaishajya kalpana vigyana  equipped instrumentinfrastructure helpful uacademic yearcomprise ultramodern facilitiepreparation medicine research holdunique position ayurveda teaching institutedue practical training research output teachingpossible consistent effortfaculty dement
37,it giveimmense pleasure talk teacherrasashastra bhaishajyakalpana bvducoa owe entire research approach mindset them put effortinculcate valuework ethicdiscipline research orientation within uspacioudesigneduit postgraduate curricular activitiespecificectionviz quality control lab equipped instrumentanalysiphysicochemical parameterraw herbprocessed formulation laboratorieformulation processing ample provision raw materialseparateection incineration metalmetalloidprovided teaching techniqueengaging thoughtprovoking powerpoint presentationhelpful tool  topicsimpler interesting field
38,i phd bhu completing md bvdu pune nowadayworking assistant professor institute ayush medicalciencelucknow uttar pradeshhall alwayindebted passionate teacherplaying important rolehaping career life understoodubject ayurveda basiclassical  contemporary parameterdue learningrsbk bvdu pune
39,i completed postgraduation 2016 im currently working associate professor dy universitychool ayurveda dont know possible convey wordsense gratitude towardrsbkv dept wantay depth heart interesting fulfilling course wadynamic teacherit work teacher pleased grateful experience wonderful teaching intriguing course help teaching   you
40,grateful teacherinculcating view towardayurveda modern medicine collaboratively helped lot
41,studentconstantly motivated encouraged here blessed qualifiedtaff equipment pleasant environmenttudententirecenario bring upbringingyoungtudentfield ayurveda
42,our kriyaharirupportive helpfultaff member versed basic principleayurvedtudentindeed blessed applied knowledge practical approach
43,yearlearning experience me ful healthy enthusiastic environment provided research work
44,fortune could  dementubject core ayurvedaamhitatudy d here teacherhelpful knowledgeable alwaysupported  huddle pgtudy fulamhitaiddhant bvducoa now
45,i consider lucky opportunity trainamhitaiddhant highly qualified knowledgeable yet humble teacherdement rate five fivetarteachingtaff library digital resourceelectronic facilitieimportant passion teach
46,excellent cooperative along knowledgeable faculties
47,dement equipped dissection hall fulltime and qualifiedtaff pg teacher recognition facultiethedement  disciplined teacherstudent friendly helpfulandtheyareaccessibleinthedementandalwaysreadytosolvestu dent academic difficulty faculty usemodern teaching aidlike lcdwebource nontraditional methodlike group discussion forteaching
48, equipped dementincere enthusiastictafftudentreceive useful knowledge regardingubject equipped variouinstrumentmuseum hall  developed
49,being amongst completed bachelormasterph dingle institute alwayunique journey innovation healthcare kicked along poona college pharmacy owe gratitude alma mater enabling ubelievepecial preparing uembrace everevolving global challengemustay poona college pharmacy prestigioupharmacy collegecountry iming industryleading education inhouse expertise driving excellence
50,overall  experience lifetime memory pcp want excellent career pharma field would highly recommend join pcp  place learnharpenkills
52,through education work experience found want future realized professional experience higher education important achieve future goal pcp given kind platform proud pcpian
53,bvdu pcp prepared lead industryciencetudent interested pharmacology college helped leader industry  associated college
54,studying bharat vidyapeeth universitywabig dream competentespecially clinical optometry whole aspect binocular vision issue experience hadchool optometry found nowhere bvp place education funandwiched
55,it niceee using herbplantcure  illnessecombination cure canceride mix ayurvedic technology moderncience help cure help uway curing disease explanation dr neeta given help elaboration research time kindness
56,gratified finished college bharati vidyapeeth deemed university new law college professorexpertrespective fieldprovide excellent knowledgetudents
57,my 5year journey nlc punecould happen me changed individual  professional
58,atmosphere conducive creative productive learningtudentfreely meet talk faculty memberhelpcreate excellent learning environmenti gratefulardair faculty memberstaff 
59,timepent campualwayholdpecial place heart new law college place met brilliant mindcanopy warmest inspiring faculty membersi proud endorse represent  institution
60,nlc pune given memoriegiven  opportunitiegrow luxury interning ardairheetal maam favourite faculty members
