,c1,sentiment_neg,sentiment_pos,sentiment_neu,sentiment_compound,sentiment
46,"""the plot pretty blatant rehash typical """"coming-of-age hero"""" tropes. still",0.0,0.459,0.541,0.7783,positive
47,"""young viewers probably entertained even likely realize could better",0.0,0.444,0.556,0.6808,positive
48,raises issues balls resolve placing context brains exploit.,0.14,0.26,0.6,0.296,positive
49,whew boy.,0.0,0.0,1.0,0.0,neutral
50,problems screen adaptations young adult novels...they spend much time struggling explain world they're creating forget parts story people want see...they figure people (kids),0.256,0.121,0.623,-0.5994,negative
51,sadly worthy dumping cinematic boneyard wintry mid-february.,0.425,0.242,0.333,-0.296,negative
52,"""the camera work frequently pedestrian",0.0,0.0,1.0,0.0,neutral
53,director chris columbus brought together modern mythical spheres sharp pacing nifty sense fun atone film's dippier moments. enjoyable effort since harry potter chamber secrets.,0.0,0.298,0.702,0.836,positive
54,"""dutifully potteresque begins",0.0,0.0,1.0,0.0,neutral
55,"""has cgi sorcery harry potter pic",0.0,0.0,1.0,0.0,neutral
56,columbus knows way around kind material even special effects look like came deep discount.,0.0,0.439,0.561,0.8225,positive
57,"""percy jackson",0.0,0.0,1.0,0.0,neutral
58,scary younger fans popular book.,0.356,0.311,0.333,-0.1027,negative
59,pleasant surprise deftly story translates myths classical idiom modern ones without losing classical flavor,0.0,0.408,0.592,0.7639,positive
60,"""...great fun whole family. introduces young readers home books",0.0,0.514,0.486,0.8126,positive
61,"""sorry mr. jackson",0.394,0.0,0.606,-0.0772,negative
62,"""a clunky kid-sized epic",0.0,0.0,1.0,0.0,neutral
63,harry potter meets clash titans … backdrop greek mythology makes enjoyable change pace medieval fantasy magic potter stories.,0.0,0.146,0.854,0.4404,positive
64,"""while winning award longest movie title",0.0,0.633,0.367,0.7845,positive
65,without bright moments ... story centered around trio young actors simply operating skill level older costars.,0.138,0.0,0.862,-0.3412,negative
66,"""built set pieces demonstrate real affection greek myth iconography centered strong performance logan lerman (a star making)",0.0,0.309,0.691,0.7717,positive
67,awful. particularly inspired. something tells movie inspiring sequel anytime soon.,0.184,0.386,0.43,0.5095,positive
68,parental content review,0.0,0.0,1.0,0.0,neutral
69,"""harry",0.0,0.0,1.0,0.0,neutral
70,"""the film toggles high camp deadly earnestness",0.0,0.0,1.0,0.0,neutral
71,"""likable percy may",0.0,0.0,1.0,0.0,neutral
72,kids' movie: parents either get silly-suspenseful spirit play rummikub iphones.,0.0,0.339,0.661,0.4767,positive
73,"""while certainly terrible",0.477,0.369,0.154,-0.1779,negative
74,end enervating feeling deja vu.,0.0,0.273,0.727,0.128,positive
75,"""like stars",0.0,0.714,0.286,0.3612,positive
76,apparent potter may last worthy successor.,0.0,0.545,0.455,0.5859,positive
77,"""unfortunately",1.0,0.0,0.0,-0.34,negative
78,"""there lots cool surprises along way",0.0,0.512,0.488,0.4939,positive
79,"""columbus company crafted agreeable mythological jaunt whole family enjoy",0.0,0.462,0.538,0.7184,positive
80,,0.0,0.0,0.0,0.0,neutral
81,lerman presence even mouth full bad dialogue.,0.368,0.0,0.632,-0.5423,negative
82,film replete plot holes.,0.0,0.0,1.0,0.0,neutral
83,moments inspired silliness save escapist adventure complete dullness.,0.269,0.544,0.188,0.6597,positive
84,"""a dull",0.73,0.0,0.27,-0.4019,negative
85,...an agreeable fantasy adventure leave fans genre satisfied.,0.092,0.603,0.305,0.7717,positive
86,"""director columbus never quite gets comfortable juggling film's myriad characters",0.244,0.0,0.756,-0.4419,negative
87,"""this quality book adaptation",0.0,0.0,1.0,0.0,neutral
88,"""despite much epic drama greek mythology borrow",0.0,0.0,1.0,0.0,neutral
89,"""it would easy slam review. like big pretty toy commercials",0.151,0.5,0.349,0.7184,positive
90,"""""""it bit hard see quite percy jackson lightening thief's market lies. adult juveniles",0.276,0.0,0.724,-0.4939,negative
91,"""there's one single thing appeal person ever seen mythological origin story",0.0,0.0,1.0,0.0,neutral
92,trite ludicrous threat harry potter franchise,0.72,0.0,0.28,-0.7717,negative
93,...an attempt replicate phenomenon harry potter.,0.0,0.0,1.0,0.0,neutral
94,thought mischievous witty amusing sort drawn it.,0.0,0.302,0.698,0.3818,positive
95,"""maybe aged eight 12",0.0,0.0,1.0,0.0,neutral
96,"""the technical wizardry spectacular story taut",0.0,0.0,1.0,0.0,neutral
97,"""the film rousing blend special effects",0.0,0.351,0.649,0.4019,positive
98,percy jackson & olympians dutifully made kids' fantasy film columbus handles basic approach wielded faithful vanilla harry potter adaptations.,0.0,0.139,0.861,0.4404,positive
99,"""chris columbus safe choice behind lens",0.0,0.367,0.633,0.4404,positive
100,"""an imaginative",0.0,0.0,1.0,0.0,neutral
101,"""it's enough compensate computer-game-style plotting",0.0,0.0,1.0,0.0,neutral
102,"""kids love",0.0,0.808,0.192,0.6369,positive
103,slab market research search actual movie.,0.0,0.0,1.0,0.0,neutral
104,"""the tone always certain",0.0,0.412,0.588,0.2732,positive
105,percy jackson manages make greek mythology fun exciting sure appeal key demographic.,0.0,0.494,0.506,0.8316,positive
106,"""not bad",0.0,0.74,0.26,0.431,positive
107,there's plenty larks fast-moving fantasy take mythology seriously employs actors look like teenage rabbits headlights.,0.099,0.145,0.756,0.2023,positive
108,"""while suspect really big clash titans spoiler",0.268,0.0,0.732,-0.296,negative
109,"""it's evidently potter-ish",0.0,0.0,1.0,0.0,neutral
110,"""while hogwarts saga may getting long tooth",0.0,0.0,1.0,0.0,neutral
111,"""it great see greek mythology taking centre stage",0.0,0.369,0.631,0.6249,positive
112,digitisation reigns - spectacular visual effects - dialogue drizzles sploshes.,0.0,0.0,1.0,0.0,neutral
113,"""if they'd played laughs might worked",0.0,0.583,0.417,0.6808,positive
114,"""very american",0.0,0.0,1.0,0.0,neutral
115,"""the story told bland",0.0,0.0,1.0,0.0,neutral
116,ineffably wooden chris columbus adaptation author rick riordan's best-seller young teens screenplay defies description.,0.0,0.0,1.0,0.0,neutral
117,"""it's fantastic fun",0.0,0.873,0.127,0.7845,positive
118,remember first time saw harry potter big screen? like third time saw bigger effects greek mythology replacing occult.,0.0,0.128,0.872,0.3612,positive
119,"""an awful lot acting talent goes waste film",0.426,0.206,0.368,-0.4588,negative
120,greek gods outsized powers petty grievances. gen-y demigods different - whole generation kids daddy issues,0.249,0.0,0.751,-0.5106,negative
121,grand prize goes uma thurman snake-headed medusa. also pleasure see steve coogan hell.,0.195,0.424,0.381,0.6597,positive
122,"""the whole thing piffle",0.0,0.0,1.0,0.0,neutral
123,19-02-2010,0.0,0.0,1.0,0.0,neutral
124,"""a safe",0.0,0.744,0.256,0.4404,positive
125,"""it looks like characters color percy jackson paired",0.0,0.263,0.737,0.3612,positive
126,"""it's jolly good fun",0.0,0.905,0.095,0.8591,positive
127,surprised affection action adventure film way would days ray harryhausen's best films.,0.0,0.596,0.404,0.8957,positive
128,03-03-2010,0.0,0.0,1.0,0.0,neutral
129,"""while flick may harry potter's complex world multiple layers",0.0,0.0,1.0,0.0,neutral
130,... sprightly harry potter clone eye-candy-coated intro greek mythology.,0.0,0.273,0.727,0.4588,positive
131,click read full review,0.0,0.0,1.0,0.0,neutral
132,"""of would-be potter projects hit screen years",0.0,0.0,1.0,0.0,neutral
133,"""a great family film",0.0,0.577,0.423,0.6249,positive
134,"""not perfect film",0.6,0.0,0.4,-0.4585,negative
135,mildly diverting.,0.0,0.0,1.0,0.0,neutral
136,"""just another mediocre fantasy flick",0.0,0.0,1.0,0.0,neutral
137,"""an enjoyable pg-rated family adventure right",0.0,0.565,0.435,0.6369,positive
138,percy jackson & olympians: lightning thief proves satisfying beginning sure promising film franchise.,0.167,0.392,0.441,0.5574,positive
139,manages pay respects greek myths actually convey fun.,0.117,0.467,0.417,0.6369,positive
140,kind builds lot much.,0.0,0.531,0.469,0.5267,positive
141,"""percy jackson simply uninspired every single meaning word. probably crassest",0.0,0.0,1.0,0.0,neutral
142,05-11-2011,0.0,0.0,1.0,0.0,neutral
143,provides great adventure movie family audience.,0.0,0.615,0.385,0.7506,positive
144,plot uses presence greek gods indistinct outline influence teenagers interested prestige glamor connection responsibility comes it.,0.0,0.293,0.707,0.7003,positive
145,"""as former middle school teacher gifted literature",0.0,0.0,1.0,0.0,neutral
146,lightning thief admirable kid's fantasy.,0.34,0.36,0.3,0.0516,positive
147,"""ok",0.0,0.0,1.0,0.0,neutral
148,there's nothing resembling spark film anywhere.,0.25,0.0,0.75,-0.1695,negative
149,"""like holofcener's previous pictures",0.0,0.455,0.545,0.3612,positive
150,"""a muted",0.0,0.0,1.0,0.0,neutral
151,"""keener",0.0,1.0,0.0,0.128,positive
152,"""an edgy",0.0,0.0,1.0,0.0,neutral
153,"""holofcener always gives us chew originally meets eye films writes female characters intelligence",0.0,0.205,0.795,0.4767,positive
154,"""the tone low-key funny. yet",0.0,0.42,0.58,0.4404,positive
155,"""of piece nicole holofcener's three films -- talky",0.0,0.0,1.0,0.0,neutral
156,"""a witty observant comedy manners",0.0,0.385,0.615,0.3612,positive
157,solid ensemble work especially good catherine keener.,0.0,0.621,0.379,0.6764,positive
158,"""it's tricky kind social satire",0.2,0.425,0.375,0.4215,positive
159,"""the fourth teaming gifted indie filmmaker holofcener talented actress keener timely",0.0,0.348,0.652,0.5859,positive
160,"""ah",0.0,0.0,1.0,0.0,neutral
161,engagingly high-strung comedy lack empathy gnawing guilt attend it.,0.306,0.347,0.347,0.1531,positive
162,holofcener's humorous interest yupscale entitlem.ent discontents mark descendant woody allen,0.0,0.412,0.588,0.6808,positive
163,"""please give specific middle-class",0.0,0.434,0.566,0.3182,positive
164,one best movies ever guilt guardian goodness sign yearning belong larger world.,0.112,0.463,0.426,0.765,positive
165,"""[holofcener] real sympathy -- characters might brittle",0.0,0.294,0.706,0.3612,positive
166,"""at time every penny counts",0.0,0.0,1.0,0.0,neutral
167,"""such fine-tuned observation requires ideal interpreter. keener always holofcener's muse",0.0,0.38,0.62,0.5994,positive
168,"""with new film",0.0,0.0,1.0,0.0,neutral
169,"""sometimes -- far rarely -- film hit right notes",0.0,0.0,1.0,0.0,neutral
170,"""listening banter please give feels like eavesdropping natural conversations",0.0,0.549,0.451,0.743,positive
171,"""with romantic notion deceased 'haunting' furniture...",0.239,0.307,0.455,0.1531,positive
172,"""keener",0.0,1.0,0.0,0.128,positive
173,people might find distasteful make movie guilty rich folks give permission splurge. others rightly appreciate honesty.,0.115,0.391,0.494,0.7717,positive
174,holofcener's deliciously understated film takes miniaturist's pleasure getting details right.,0.0,0.452,0.548,0.765,positive
175,"""one best movies year far. insightful",0.0,0.457,0.543,0.6369,positive
176,"""few american filmmakers create female characters realistically funny",0.0,0.455,0.545,0.6124,positive
177,"""hardly treasure",0.0,0.656,0.344,0.228,positive
178,two possible ways regarding please give: shallow. maybe deeply shallow.,0.0,0.204,0.796,0.3182,positive
179,"""if giving always relationship",0.0,0.444,0.556,0.34,positive
180,"""please give holofcener's best movie date. slender plot presents without fuss",0.0,0.419,0.581,0.7579,positive
181,"""this gorgeous film",0.0,0.667,0.333,0.6124,positive
182,,0.0,0.0,0.0,0.0,neutral
183,"""fleetingly amusing",0.0,0.722,0.278,0.3818,positive
184,"""holofcener's touch light",0.0,0.0,1.0,0.0,neutral
185,"""[although] think holofcener's work always interesting",0.0,0.351,0.649,0.4019,positive
186,"""brutally honest way people behave",0.388,0.32,0.291,-0.1779,negative
187,put bitchy-familiar chick-flick wrapper. one's keeper.,0.0,0.0,1.0,0.0,neutral
188,funny heartbreaking.,0.508,0.492,0.0,-0.0258,negative
189,"""forget dreaded """"sex city 2."""" holofcener's wonderful new film mammograms",0.344,0.227,0.429,-0.2263,negative
190,"""please give moral comedy feels times like one late eric rohmer's deceptively breezy miniatures",0.0,0.399,0.601,0.743,positive
191,"""in casual",0.0,0.643,0.357,0.2023,positive
192,holofcener explores contemporary female experience camera empathetic merciless.,0.0,0.278,0.722,0.4019,positive
193,one rare movies made want thank person it.,0.0,0.388,0.612,0.4215,positive
194,"""the movie imperfect characters difficult world",0.545,0.0,0.455,-0.5859,negative
195,"""it's wonderful movie full people wish knew real life",0.0,0.478,0.522,0.7506,positive
196,"""please give series set-piece scenes",0.0,0.365,0.635,0.3182,positive
197,rebecca hall comes genuineness rises holofcener's doodlings.,0.0,0.0,1.0,0.0,neutral
198,"""please give proves film spectacularly rewarding experience providing time spent well-written",0.0,0.388,0.612,0.6908,positive
199,recognizes film unpleasant people need unpleasant long remembers make uninteresting well.,0.38,0.129,0.491,-0.6249,negative
200,"""as four previous films",0.0,0.0,1.0,0.0,neutral
201,"""far challenging",0.0,0.615,0.385,0.1531,positive
202,"""holofcener sprinkled quite lot humor",0.0,0.373,0.627,0.3353,positive
203,"""yet another ramble tiny world affluent idle",0.0,0.0,1.0,0.0,neutral
204,"""while holofcener's scenes profoundly accurate wildly amusing",0.0,0.302,0.698,0.3818,positive
205,combination good-nature light snark [make] please give maybe strongest film holofcener's career.,0.0,0.342,0.658,0.6369,positive
206,"""there's nothing wrong asking audiences make minds",0.0,0.299,0.701,0.3724,positive
207,filmmakers make movies hold mirror nature. nicole holofcener makes seriocomedies hold magnifying glass human nature.,0.0,0.0,1.0,0.0,neutral
208,film's premise yields story that's insightful engaging touching many matters love money.,0.0,0.461,0.539,0.7717,positive
209,characters varying viewpoints haves have-nots entertaining thought-provoking.,0.0,0.326,0.674,0.4404,positive
210,there's movie around right subject pertinent. it'll hit hard.,0.149,0.0,0.851,-0.1027,negative
211,please give one movies enjoyed simply funny portraits human foibles fumbling grasps intimacy -- also deceivingly profound.,0.0,0.378,0.622,0.8176,positive
212,"""it's movie guilt family mean say something valuable",0.188,0.277,0.536,0.25,positive
213,02-06-2010,0.0,0.0,1.0,0.0,neutral
214,"""nobody loves messy",0.347,0.514,0.139,0.296,positive
215,"""there laughs moments pain many instances embarrassing (and deeply human) behavior throughout",0.326,0.177,0.497,-0.4019,negative
216,"""nicole holofcener frequently lauded writing vivid female characters",0.0,0.0,1.0,0.0,neutral
217,"""touching",0.0,0.0,1.0,0.0,neutral
218,"""please give almost perfectly rendered slice life",0.0,0.554,0.446,0.7357,positive
219,"""while characters contend precarious self-images",0.0,0.231,0.769,0.0516,positive
220,tremendous leap forward filmmaker nicole holofcener...,0.0,0.0,1.0,0.0,neutral
221,"""[the script is] sharp witty",0.0,0.0,1.0,0.0,neutral
222,"""in please give",0.0,0.535,0.465,0.3182,positive
223,"""while please give film conscience",0.0,0.365,0.635,0.3182,positive
224,"""in holofcener film",0.0,0.0,1.0,0.0,neutral
225,"""give thrives professional efforts",0.0,0.0,1.0,0.0,neutral
226,"""happily",0.0,1.0,0.0,0.5574,positive
227,"""exploring class",0.0,0.0,1.0,0.0,neutral
228,"""an indie real pedigree smarts",0.0,0.394,0.606,0.3818,positive
229,"""maybe things get worse",0.508,0.0,0.492,-0.4767,negative
230,"""there's rare occasion boldness dialogue laid little thick drags moment",0.119,0.21,0.671,0.2682,positive
231,"""trifles",0.0,0.0,1.0,0.0,neutral
232,"""beautifully played sharply-written",0.0,0.859,0.141,0.7269,positive
233,"""holofcener's biggest ally nauseating self-pity keener",0.0,0.231,0.769,0.128,positive
234,"""smart touching",0.0,0.73,0.27,0.4019,positive
235,keener manages flesh character deeply sometimes stage-rash behavior holofcener demands.,0.0,0.143,0.857,0.128,positive
236,starved whip-smart dialogue characters behave though they've stepped cartoon? holofcener's latest guaranteed please. give look.,0.19,0.122,0.688,-0.3182,negative
237,"""enjoyable",0.0,1.0,0.0,0.4404,positive
238,"""funny yet emotional",0.0,0.818,0.182,0.5423,positive
239,17-06-2010,0.0,0.0,1.0,0.0,neutral
240,"""holofcener allows strong ensemble room really explore characters. keener hall obvious standouts",0.0,0.336,0.664,0.6204,positive
241,"""nothing earth-shaking goes",0.0,0.0,1.0,0.0,neutral
242,"""three dimensional characters",0.0,0.0,1.0,0.0,neutral
243,here's sentence i've typed before: rebecca hall best thing movie. british actress raises level every production touches.,0.0,0.268,0.732,0.6705,positive
244,director/writer nicole holofcener goes back east please give. auspicious move.,0.0,0.204,0.796,0.3182,positive
245,"""compare wonderfully flawed",0.388,0.487,0.125,0.2023,positive
246,18-06-2010,0.0,0.0,1.0,0.0,neutral
247,18-06-2010,0.0,0.0,1.0,0.0,neutral
248,upper east side slice navel gazing,0.0,0.0,1.0,0.0,neutral
249,"""nicole holofcener's lovely please give small",0.0,0.604,0.396,0.7269,positive
250,"""if hoping huge dramatic payoff mild laughs cynically satisfying script",0.124,0.608,0.269,0.8402,positive
251,plot less movie lacks momentum get feeling empathy sympathy characters. ensemble acting sound guilbert standing nostalgic trip memory lane viewers.,0.0,0.182,0.818,0.4588,positive
252,ms. holofcener's observant talky comedy resonates plenty oomph believable modern-day fable urban life.,0.0,0.172,0.828,0.3612,positive
253,nicole holofcener creates open-ended characters whose ordinary lives fascinating credits roll wondering transformers gets sequel them.,0.0,0.384,0.616,0.7964,positive
254,"""in please give friends money",0.0,0.643,0.357,0.6597,positive
255,"""as holofcener charts telling little developments randomly connected lives film offers wry smiles",0.0,0.205,0.795,0.4767,positive
256,"""a spiky",0.0,0.0,1.0,0.0,neutral
257,"""touching: that's makes holofcener's films lovely. beady-eyed satires",0.0,0.352,0.648,0.5859,positive
258,"""this small film",0.0,0.0,1.0,0.0,neutral
259,"""it sparks laughter crossing wires human motivation",0.0,0.528,0.472,0.6808,positive
260,"""writer-director holofcener cleverly keeps emotions gurgling right surface engaging interpersonal comedy. smiles laughing loud",0.0,0.617,0.383,0.926,positive
261,"""a well-written",0.0,0.0,1.0,0.0,neutral
262,"""it well-observed morally stunted",0.0,0.0,1.0,0.0,neutral
263,"""holofcener writes",0.0,0.0,1.0,0.0,neutral
264,stroll characters refreshing break usual film exercises.,0.0,0.0,1.0,0.0,neutral
265,"""please give quintessential holofcener -- loopy",0.0,0.315,0.685,0.3182,positive
266,"""keener",0.0,1.0,0.0,0.128,positive
267,"""writer-director nicole holofcener seems get better every film",0.0,0.293,0.707,0.4404,positive
268,"""life-goes-on movies usually electrify senses",0.0,0.0,1.0,0.0,neutral
269,"""keener become holofcener's artistic alter ego. please give",0.0,0.388,0.612,0.4215,positive
270,"""nicole holofcener",0.0,0.0,1.0,0.0,neutral
271,"""the acting quality strong",0.0,0.524,0.476,0.5106,positive
272,wryly humane,0.0,0.0,1.0,0.0,neutral
273,"""the film lives uneasy intersection affluence compassion",0.245,0.283,0.472,0.1027,positive
274,"""it's involving often gripping wonderful performances top cast",0.0,0.478,0.522,0.6705,positive
275,"""the main problem film",0.474,0.0,0.526,-0.4019,negative
276,"""please give laugh-out-loud funny",0.0,0.722,0.278,0.6369,positive
277,"""holofcener takes pretty much everything supposed talk dinner party spins ruefully awkward",0.097,0.358,0.545,0.6486,positive
278,"""the film emotionally incisive initially appears",0.0,0.0,1.0,0.0,neutral
279,"""keener never lets us lose sight something possibly redeemable kate",0.0,0.32,0.68,0.4133,positive
280,10-09-2010,0.0,0.0,1.0,0.0,neutral
281,"""doesn't much plot",0.0,0.0,1.0,0.0,neutral
282,"""you smart funny really aware write direct film like",0.0,0.574,0.426,0.7964,positive
283,,0.0,0.0,0.0,0.0,neutral
284,"""funny times",0.0,0.744,0.256,0.4404,positive
285,"""in another director's hands",0.0,0.0,1.0,0.0,neutral
286,"""in writer/director nicole holofcener's crisp",0.0,0.0,1.0,0.0,neutral
287,17-11-2018,0.0,0.0,1.0,0.0,neutral
288,"""holofcener brings knowing empathy characters",0.0,0.0,1.0,0.0,neutral
289,please give truly film age; darkly comic stuff mistress miserable-urbanites genre.,0.0,0.366,0.634,0.6369,positive
290,"""about people give",0.0,0.0,1.0,0.0,neutral
291,"""10 (1979) known numerical rating system beautiful women. described """"a temptingly tasteful comedy adults""",0.0,0.348,0.652,0.7506,positive
292,obvious entertaining portrayal midlife crisis gone horribly awry.,0.487,0.188,0.325,-0.6808,negative
293,,0.0,0.0,0.0,0.0,neutral
294,,0.0,0.0,0.0,0.0,neutral
295,highly over-rated dudley moore comedy.,0.0,0.385,0.615,0.3612,positive
296,,0.0,0.0,0.0,0.0,neutral
297,"""and oh",0.0,0.0,1.0,0.0,neutral
298,,0.0,0.0,0.0,0.0,neutral
299,18-09-2003,0.0,0.0,1.0,0.0,neutral
300,"""sexist",0.0,0.0,1.0,0.0,neutral
301,"""""""10"""" explores sexual yearning drama funny right target depiction yearnings men.""",0.0,0.328,0.672,0.5267,positive
302,people tend forget hilarious movie really,0.221,0.314,0.465,0.2023,positive
303,,0.0,0.0,0.0,0.0,neutral
304,"""blake edwards's 10 perhaps first comedy terminal yearning. like great comedies",0.0,0.689,0.311,0.9062,positive
305,,0.0,0.0,0.0,0.0,neutral
306,,0.0,0.0,0.0,0.0,neutral
307,"""a sporadically funny",0.0,0.592,0.408,0.4404,positive
308,,0.0,0.0,0.0,0.0,neutral
309,"""this passable great blake edwards picture became known huge impact beautiful bo derek hairstyle; bo's stardom shortlived",0.0,0.424,0.576,0.8834,positive
310,,0.0,0.0,0.0,0.0,neutral
311,"""dudley moore periodically funny",0.0,0.492,0.508,0.4404,positive
312,"""10's tossed-off quality keeps greatness",0.0,0.0,1.0,0.0,neutral
313,"""a fascinating character study",0.0,0.538,0.462,0.5423,positive
314,gags - even quite funny - nearly enough.,0.0,0.313,0.687,0.4927,positive
315,"""a film texture",0.0,0.0,1.0,0.0,neutral
316,"""in time bloated special effects become real stars",0.0,0.278,0.722,0.4019,positive
317,completely deserved high status undisputed classic.,0.0,0.0,1.0,0.0,neutral
318,"""thoroughly engaging",0.0,0.729,0.271,0.4005,positive
319,"""while composition juries might change time",0.0,0.0,1.0,0.0,neutral
320,cinema heresy worked.,0.0,0.0,1.0,0.0,neutral
321,"""12 angry men (1957) gripping",0.452,0.0,0.548,-0.5106,negative
322,"""12 angry men ranks tautest courtroom drama ever see",0.292,0.0,0.708,-0.5106,negative
323,pure dynamite movie form.,0.0,0.362,0.638,0.1779,positive
324,,0.0,0.0,0.0,0.0,neutral
325,,0.0,0.0,0.0,0.0,neutral
326,,0.0,0.0,0.0,0.0,neutral
327,"""this film tension comes personality conflict",0.535,0.0,0.465,-0.5574,negative
328,sidney lumet's debut feels bit stagy never short tension.,0.0,0.197,0.803,0.2411,positive
329,,0.0,0.0,0.0,0.0,neutral
330,,0.0,0.0,0.0,0.0,neutral
331,"""an intense concentration power",0.0,0.302,0.698,0.0772,positive
332,"""although may sound ungallant",0.0,0.0,1.0,0.0,neutral
333,one-room dramas get much better,0.0,0.42,0.58,0.4404,positive
334,,0.0,0.0,0.0,0.0,neutral
335,,0.0,0.0,0.0,0.0,neutral
336,"""ainda que se passe em um nico ambiente",0.0,0.0,1.0,0.0,neutral
337,film great combination adult theme treatment suitable younger audience.,0.0,0.339,0.661,0.6249,positive
338,,0.0,0.0,0.0,0.0,neutral
339,masterful work debate dialogue; shifting momentum ideal sticking scruples face antagonistic groupthink.,0.168,0.211,0.621,0.1779,positive
340,"""sidney lumet's oscar-nominated feature directing debut brilliant courtroom drama",0.0,0.322,0.678,0.5859,positive
341,strangely realistic thriller.,0.478,0.304,0.217,-0.2023,negative
342,"""mechanically written",0.0,0.0,1.0,0.0,neutral
343,"""makes self-saluting motions greater importance",0.0,0.625,0.375,0.6124,positive
344,,0.0,0.0,0.0,0.0,neutral
345,power house jury room drama w/cast memorable actors.,0.0,0.0,1.0,0.0,neutral
346,every bit classic made years.,0.0,0.0,1.0,0.0,neutral
347,film leaves tremendous impact.,0.0,0.0,1.0,0.0,neutral
348,"""not much action",0.0,0.0,1.0,0.0,neutral
349,"""taut",0.0,0.0,1.0,0.0,neutral
350,"""12 angry men shrewd observations sell argumentation group behavior",0.292,0.0,0.708,-0.5106,negative
